resource_group,operation_name,rest_method,rest_path,python_method,python_package,javascript_method,javascript_package,csharp_method,csharp_package,java_method,java_package,parity_notes
Threads,Get thread,GET,/threads/{thread_id}?api-version=2025-04-01-preview,client.agents.get_thread(thread_id),azure-ai-projects,client.agents.getThread(threadId),@azure/ai-projects,persistentAgentsClient.Threads.GetThreadAsync(threadId),Azure.AI.Agents.Persistent,agentsClient.getThread(threadId),com.azure:azure-ai-agents,"Useful for metadata inspection and session recovery."
Threads,Update thread metadata,POST,/threads/{thread_id}?api-version=2025-04-01-preview,client.agents.update_thread(thread_id, metadata=...),azure-ai-projects,client.agents.updateThread(threadId, ...),@azure/ai-projects,persistentAgentsClient.Threads.UpdateThreadAsync(threadId, ...),Azure.AI.Agents.Persistent,agentsClient.updateThread(threadId, ...),com.azure:azure-ai-agents,"Most SDKs limit updates to metadata rather than content."
Threads,Delete thread,DELETE,/threads/{thread_id}?api-version=2025-04-01-preview,client.agents.delete_thread(thread_id),azure-ai-projects,client.agents.deleteThread(threadId),@azure/ai-projects,persistentAgentsClient.Threads.DeleteThreadAsync(threadId),Azure.AI.Agents.Persistent,agentsClient.deleteThread(threadId),com.azure:azure-ai-agents,"Deletion is permanent and should be treated as destructive."
Messages,Create message,POST,/threads/{thread_id}/messages?api-version=2025-04-01-preview,"client.agents.create_message(thread_id, role='user', content=...)",azure-ai-projects,"client.agents.createMessage(threadId, ...)",@azure/ai-projects,"persistentAgentsClient.Messages.CreateMessageAsync(threadId, ...)",Azure.AI.Agents.Persistent,"agentsClient.createMessage(threadId, ...)",com.azure:azure-ai-agents,"Multimodal content shapes can differ slightly across API versions."
Messages,List messages,GET,/threads/{thread_id}/messages?api-version=2025-04-01-preview,client.agents.list_messages(thread_id),azure-ai-projects,client.agents.listMessages(threadId),@azure/ai-projects,persistentAgentsClient.Messages.GetMessagesAsync(threadId),Azure.AI.Agents.Persistent,agentsClient.listMessages(threadId),com.azure:azure-ai-agents,"Cursor pagination is common for long-running conversations."
Messages,Get message,GET,/threads/{thread_id}/messages/{message_id}?api-version=2025-04-01-preview,"client.agents.get_message(thread_id, message_id)",azure-ai-projects,"client.agents.getMessage(threadId, messageId)",@azure/ai-projects,"persistentAgentsClient.Messages.GetMessageAsync(threadId, messageId)",Azure.AI.Agents.Persistent,"agentsClient.getMessage(threadId, messageId)",com.azure:azure-ai-agents,"Useful for replay, audit, and targeted troubleshooting."
Messages,Delete message,DELETE,/threads/{thread_id}/messages/{message_id}?api-version=2025-04-01-preview,"client.agents.delete_message(thread_id, message_id)",azure-ai-projects,"client.agents.deleteMessage(threadId, messageId)",@azure/ai-projects,"persistentAgentsClient.Messages.DeleteMessageAsync(threadId, messageId)",Azure.AI.Agents.Persistent,"agentsClient.deleteMessage(threadId, messageId)",com.azure:azure-ai-agents,"Deletion support can lag older SDK releases."
Runs,Create run,POST,/threads/{thread_id}/runs?api-version=2025-04-01-preview,"client.agents.create_run(thread_id, agent_id=...)",azure-ai-projects,"client.agents.createRun(threadId, agentId)",@azure/ai-projects,"persistentAgentsClient.Runs.CreateRunAsync(threadId, agentId)",Azure.AI.Agents.Persistent,"agentsClient.createRun(threadId, agentId)",com.azure:azure-ai-agents,"Lowest-level call; the caller usually polls until a terminal state."
Runs,Get run,GET,/threads/{thread_id}/runs/{run_id}?api-version=2025-04-01-preview,"client.agents.get_run(thread_id, run_id)",azure-ai-projects,"client.agents.getRun(threadId, runId)",@azure/ai-projects,"persistentAgentsClient.Runs.GetRunAsync(threadId, runId)",Azure.AI.Agents.Persistent,"agentsClient.getRun(threadId, runId)",com.azure:azure-ai-agents,"Primary call for polling and failure diagnosis."
Runs,List runs,GET,/threads/{thread_id}/runs?api-version=2025-04-01-preview,client.agents.list_runs(thread_id),azure-ai-projects,client.agents.listRuns(threadId),@azure/ai-projects,persistentAgentsClient.Runs.GetRunsAsync(threadId),Azure.AI.Agents.Persistent,agentsClient.listRuns(threadId),com.azure:azure-ai-agents,"Helpful when reconstructing execution history."
Runs,Cancel run,POST,/threads/{thread_id}/runs/{run_id}/cancel?api-version=2025-04-01-preview,"client.agents.cancel_run(thread_id, run_id)",azure-ai-projects,"client.agents.cancelRun(threadId, runId)",@azure/ai-projects,"persistentAgentsClient.Runs.CancelRunAsync(threadId, runId)",Azure.AI.Agents.Persistent,"agentsClient.cancelRun(threadId, runId)",com.azure:azure-ai-agents,"Cancellation is best-effort once tool execution starts."
Runs,Submit tool outputs,POST,/threads/{thread_id}/runs/{run_id}/submit_tool_outputs?api-version=2025-04-01-preview,"client.agents.submit_tool_outputs(thread_id, run_id, tool_outputs=[...])",azure-ai-projects,"client.agents.submitToolOutputs(threadId, runId, ...)",@azure/ai-projects,"persistentAgentsClient.Runs.SubmitToolOutputsAsync(threadId, runId, ...)",Azure.AI.Agents.Persistent,"agentsClient.submitToolOutputs(threadId, runId, ...)",com.azure:azure-ai-agents,"Used after a run reaches requires_action."
Runs,Create and process run,POST,/threads/{thread_id}/runs?api-version=2025-04-01-preview,"client.agents.create_and_process_run(thread_id, agent_id=...)",azure-ai-projects,"client.agents.createRunAndPoll(threadId, agentId)",@azure/ai-projects,"persistentAgentsClient.Runs.CreateRunAsync(...) + poll helper",Azure.AI.Agents.Persistent,"agentsClient.createRun(threadId, agentId) + poll loop",com.azure:azure-ai-agents,"Python exposes a higher-level helper; other SDKs often compose polling manually."
Runs,Stream run events,POST,/threads/{thread_id}/runs?api-version=2025-04-01-preview,"client.agents.stream(thread_id, agent_id=...)",azure-ai-projects,"client.agents.createRun(threadId, agentId, { stream: true })",@azure/ai-projects,persistentAgentsClient.Runs.CreateRunStreamingAsync(...),Azure.AI.Agents.Persistent,agentsClient.createRunStream(threadId, agentId),com.azure:azure-ai-agents,"Streaming event names differ slightly between SDK enum surfaces."
Files,Upload file,POST,/openai/v1/files,"client.get_openai_client().files.create(file=..., purpose='agents')",azure-ai-projects,"client.getOpenAIClient().files.create({ file, purpose: 'agents' })",@azure/ai-projects,projectClient.GetOpenAIClient().GetOpenAIFileClient().UploadFileAsync(...),Azure.AI.Projects,projectClient.getOpenAIClient().getFiles().upload(...),com.azure:azure-ai-projects,"File APIs route through the OpenAI-compatible client in most SDKs."
Files,List files,GET,/openai/v1/files,client.get_openai_client().files.list(),azure-ai-projects,client.getOpenAIClient().files.list(),@azure/ai-projects,projectClient.GetOpenAIClient().GetOpenAIFileClient().GetFilesAsync(),Azure.AI.Projects,projectClient.getOpenAIClient().getFiles().list(),com.azure:azure-ai-projects,"Shared across agents, responses, and fine-tuning workflows."
Files,Get file,GET,/openai/v1/files/{file_id},client.get_openai_client().files.retrieve(file_id),azure-ai-projects,client.getOpenAIClient().files.retrieve(fileId),@azure/ai-projects,projectClient.GetOpenAIClient().GetOpenAIFileClient().GetFileAsync(fileId),Azure.AI.Projects,projectClient.getOpenAIClient().getFiles().get(fileId),com.azure:azure-ai-projects,"Returns metadata; use the content endpoint to fetch bytes."
Files,Delete file,DELETE,/openai/v1/files/{file_id},client.get_openai_client().files.delete(file_id),azure-ai-projects,client.getOpenAIClient().files.delete(fileId),@azure/ai-projects,projectClient.GetOpenAIClient().GetOpenAIFileClient().DeleteFileAsync(fileId),Azure.AI.Projects,projectClient.getOpenAIClient().getFiles().delete(fileId),com.azure:azure-ai-projects,"Deletion is irreversible and can break dependent agents or evals."
Connections,List connections,GET,/connections?api-version=2025-11-15-preview,client.connections.list(),azure-ai-projects,client.connections.list(),@azure/ai-projects,projectClient.Connections.GetConnectionsAsync(),Azure.AI.Projects,projectClient.getConnections().list(),com.azure:azure-ai-projects,"Preview REST surface; SDK naming is converging around list, get, and getCredentials."
Connections,Get connection,GET,/connections/{name}?api-version=2025-11-15-preview,client.connections.get(name),azure-ai-projects,client.connections.get(name),@azure/ai-projects,projectClient.Connections.GetConnectionAsync(name),Azure.AI.Projects,projectClient.getConnections().get(name),com.azure:azure-ai-projects,"Returns metadata without secrets."
Connections,Get connection credentials,POST,/connections/{name}:getcredentials?api-version=2025-11-15-preview,client.connections.get_credentials(name),azure-ai-projects,client.connections.getCredentials(name),@azure/ai-projects,projectClient.Connections.GetConnectionWithCredentialsAsync(name),Azure.AI.Projects,projectClient.getConnections().getCredentials(name),com.azure:azure-ai-projects,"Usually requires elevated privileges beyond simple runtime access."
Deployments,List deployments,GET,/deployments?api-version=2025-11-15-preview,client.deployments.list(),azure-ai-projects,client.deployments.list(),@azure/ai-projects,projectClient.Deployments.GetDeploymentsAsync(),Azure.AI.Projects,projectClient.getDeployments().list(),com.azure:azure-ai-projects,"Returns model deployment metadata visible to the project."
Deployments,Get deployment,GET,/deployments/{deployment_name}?api-version=2025-11-15-preview,client.deployments.get(deployment_name),azure-ai-projects,client.deployments.get(deploymentName),@azure/ai-projects,projectClient.Deployments.GetDeploymentAsync(deploymentName),Azure.AI.Projects,projectClient.getDeployments().get(deploymentName),com.azure:azure-ai-projects,"A common preflight step before creating runs or evals."
Evaluations,Create evaluation run,POST,/evaluations/runs:run?api-version=2025-11-15-preview,client.beta.evaluations.create(body),azure-ai-projects,"client.evaluations.create({...})",@azure/ai-projects,projectClient.Evaluations.CreateAsync(...),Azure.AI.Projects,projectClient.getEvaluations().create(...),com.azure:azure-ai-projects,"Preview API; Python and JavaScript use evaluation namespaces rather than the agents subclient."
Evaluations,Create agent evaluation run,POST,/evaluations/runs:runAgent?api-version=2025-11-15-preview,client.beta.evaluations.create_agent(body),azure-ai-projects,"client.evaluations.createAgent({...})",@azure/ai-projects,projectClient.Evaluations.CreateAgentAsync(...),Azure.AI.Projects,projectClient.getEvaluations().createAgent(...),com.azure:azure-ai-projects,"Targets an agent version or agent endpoint instead of a raw model."
Evaluations,List evaluation runs,GET,/evaluations/runs?api-version=2025-11-15-preview,client.beta.evaluations.list_runs(),azure-ai-projects,client.evaluations.listRuns(),@azure/ai-projects,projectClient.Evaluations.GetRunsAsync(),Azure.AI.Projects,projectClient.getEvaluations().listRuns(),com.azure:azure-ai-projects,"Supports filtering and pagination as the API matures."
Evaluations,Get evaluation run,GET,/evaluations/runs/{name}?api-version=2025-11-15-preview,client.beta.evaluations.get_run(name),azure-ai-projects,client.evaluations.getRun(name),@azure/ai-projects,projectClient.Evaluations.GetRunAsync(name),Azure.AI.Projects,projectClient.getEvaluations().getRun(name),com.azure:azure-ai-projects,"Use for status checks and result retrieval."
Evaluations,Cancel evaluation run,POST,/evaluations/runs/{name}:cancel?api-version=2025-11-15-preview,client.beta.evaluations.cancel_run(name),azure-ai-projects,client.evaluations.cancelRun(name),@azure/ai-projects,projectClient.Evaluations.CancelRunAsync(name),Azure.AI.Projects,projectClient.getEvaluations().cancelRun(name),com.azure:azure-ai-projects,"Cancellation can take time if graders have already started."
Evaluations,Delete evaluation run,DELETE,/evaluations/runs/{name}?api-version=2025-11-15-preview,client.beta.evaluations.delete_run(name),azure-ai-projects,client.evaluations.deleteRun(name),@azure/ai-projects,projectClient.Evaluations.DeleteRunAsync(name),Azure.AI.Projects,projectClient.getEvaluations().deleteRun(name),com.azure:azure-ai-projects,"Mainly used for cleanup and retention management."
